File: diagnostic
Build ID: c5c547761b7abed7a06d8d64f49e8485c1ad07cd
Type: cpu
Time: 2026-09-16 21:25:21 UTC
Duration: 4.17s, Total samples = 5.51s (132.02%)
Showing nodes accounting for 3.88s, 70.42% of 5.51s total
Dropped 466 nodes (cum <= 0.03s)
      flat  flat%   sum%        cum   cum%
     0.01s  0.18% 70.05%      0.06s  1.09%  runtime.scanObjectsSmall
     0.01s  0.18% 70.24%      0.03s  0.54%  runtime.stringtoslicebyte
     0.01s  0.18% 70.42%      0.46s  8.35%  runtime.systemstack
         0     0% 70.42%      0.03s  0.54%  bytes.(*Buffer).Write
         0     0% 70.42%      0.03s  0.54%  bytes.(*Buffer).grow
         0     0% 70.42%      0.03s  0.54%  crypto/internal/fips140/sha256.New (inline)
         0     0% 70.42%      0.07s  1.27%  crypto/internal/fips140/sha256.block
         0     0% 70.42%      0.03s  0.54%  crypto/sha256.New (inline)
         0     0% 70.42%      0.04s  0.73%  database/sql.(*Conn).QueryContext
         0     0% 70.42%      0.03s  0.54%  database/sql.(*Conn).QueryRowContext
         0     0% 70.42%      0.22s  3.99%  database/sql.(*DB).QueryContext
         0     0% 70.42%      0.22s  3.99%  database/sql.(*DB).QueryContext.func1
         0     0% 70.42%      0.16s  2.90%  database/sql.(*DB).QueryRowContext
         0     0% 70.42%      0.22s  3.99%  database/sql.(*DB).query
         0     0% 70.42%      2.22s 40.29%  database/sql.(*DB).queryDC.func1
         0     0% 70.42%      0.22s  3.99%  database/sql.(*DB).retry
         0     0% 70.42%      0.19s  3.45%  database/sql.(*Rows).Close
         0     0% 70.42%      0.20s  3.63%  database/sql.(*Rows).Next
         0     0% 70.42%      0.08s  1.45%  database/sql.(*Rows).Scan
         0     0% 70.42%      0.05s  0.91%  database/sql.(*Rows).awaitDone
         0     0% 70.42%      0.20s  3.63%  database/sql.(*Rows).close
         0     0% 70.42%      0.14s  2.54%  database/sql.(*Rows).close.func1
         0     0% 70.42%      0.06s  1.09%  database/sql.(*Rows).initContextClose
         0     0% 70.42%      2.07s 37.57%  database/sql.(*Tx).QueryContext
         0     0% 70.42%      1.74s 31.58%  database/sql.(*Tx).QueryRowContext
         0     0% 70.42%      2.18s 39.56%  database/sql.ctxDriverQuery
         0     0% 70.42%      0.07s  1.27%  encoding/hex.EncodeToString (inline)
         0     0% 70.42%      0.59s 10.71%  encoding/json.(*Decoder).Decode
         0     0% 70.42%      0.04s  0.73%  encoding/json.(*Decoder).Token
         0     0% 70.42%      0.38s  6.90%  encoding/json.(*Encoder).Encode
         0     0% 70.42%      0.17s  3.09%  encoding/json.Marshal (inline)
         0     0% 70.42%      0.04s  0.73%  encoding/json.Unmarshal (inline)
         0     0% 70.42%      0.25s  4.54%  encoding/json/jsontext.(*Decoder).ReadValue (inline)
         0     0% 70.42%      0.09s  1.63%  encoding/json/jsontext.(*decoderState).CheckNextValue
         0     0% 70.42%      0.03s  0.54%  encoding/json/jsontext.(*decoderState).consumeArray
         0     0% 70.42%      0.04s  0.73%  encoding/json/jsontext.(*decoderState).consumeWhitespace
         0     0% 70.42%      0.03s  0.54%  encoding/json/jsontext.export.GetBufferedEncoder (inline)
         0     0% 70.42%      0.03s  0.54%  encoding/json/v2.JoinOptions (inline)
         0     0% 70.42%      0.33s  5.99%  encoding/json/v2.MarshalEncode
         0     0% 70.42%      0.07s  1.27%  encoding/json/v2.makeSliceArshaler.func2
         0     0% 70.42%      0.04s  0.73%  encoding/json/v2.makeSliceArshaler.func3
         0     0% 70.42%      0.13s  2.36%  encoding/json/v2.makeStringArshaler.func2
         0     0% 70.42%      0.38s  6.90%  encoding/json/v2.marshalEncode
         0     0% 70.42%      0.36s  6.53%  encoding/json/v2.unmarshalDecode
         0     0% 70.42%      0.06s  1.09%  github.com/graydeon/mousa/internal/mousa.DecodeArtifact
         0     0% 70.42%      0.08s  1.45%  github.com/graydeon/mousa/internal/mousa.DecodeObservation
         0     0% 70.42%      0.06s  1.09%  github.com/graydeon/mousa/internal/mousa.DecodePolicyDecision
         0     0% 70.42%      0.13s  2.36%  github.com/graydeon/mousa/internal/mousa.DecodeRepresentation
         0     0% 70.42%      0.43s  7.80%  github.com/graydeon/mousa/internal/mousa.DecodeSegment
         0     0% 70.42%      0.04s  0.73%  github.com/graydeon/mousa/internal/mousa.DecodeSource
         0     0% 70.42%      0.07s  1.27%  github.com/graydeon/mousa/internal/mousa.DecodeSourceTrail
         0     0% 70.42%      0.03s  0.54%  github.com/graydeon/mousa/internal/mousa.DerivationInput.MarshalJSON
         0     0% 70.42%      0.07s  1.27%  github.com/graydeon/mousa/internal/mousa.EncodeObservation
         0     0% 70.42%      0.10s  1.81%  github.com/graydeon/mousa/internal/mousa.EncodeRepresentation
         0     0% 70.42%      0.17s  3.09%  github.com/graydeon/mousa/internal/mousa.EncodeSegment
         0     0% 70.42%      0.08s  1.45%  github.com/graydeon/mousa/internal/mousa.EncodeSourceTrail
         0     0% 70.42%      0.03s  0.54%  github.com/graydeon/mousa/internal/mousa.NewRepresentationID
         0     0% 70.42%      0.08s  1.45%  github.com/graydeon/mousa/internal/mousa.NewSegmentID
         0     0% 70.42%      0.04s  0.73%  github.com/graydeon/mousa/internal/mousa.ParseArtifactID (inline)
         0     0% 70.42%      0.03s  0.54%  github.com/graydeon/mousa/internal/mousa.ParseSHA256 (inline)
         0     0% 70.42%      0.03s  0.54%  github.com/graydeon/mousa/internal/mousa.Representation.Validate
         0     0% 70.42%      0.03s  0.54%  github.com/graydeon/mousa/internal/mousa.RepresentationID.MarshalJSON
         0     0% 70.42%      0.05s  0.91%  github.com/graydeon/mousa/internal/mousa.SHA256.MarshalJSON
         0     0% 70.42%      0.08s  1.45%  github.com/graydeon/mousa/internal/mousa.Segment.Validate
         0     0% 70.42%      0.04s  0.73%  github.com/graydeon/mousa/internal/mousa.SegmentSelector.MarshalJSON
         0     0% 70.42%      0.03s  0.54%  github.com/graydeon/mousa/internal/mousa.SourceTrail.Validate
         0     0% 70.42%      0.03s  0.54%  github.com/graydeon/mousa/internal/mousa.decodeDerivationInput
         0     0% 70.42%      0.63s 11.43%  github.com/graydeon/mousa/internal/mousa.decodeJSONContract
         0     0% 70.42%      0.07s  1.27%  github.com/graydeon/mousa/internal/mousa.decodeSegmentSelector
         0     0% 70.42%      0.40s  7.26%  github.com/graydeon/mousa/internal/mousa.encodeJSONContract
         0     0% 70.42%      0.05s  0.91%  github.com/graydeon/mousa/internal/mousa.rejectDuplicateJSONKeys
         0     0% 70.42%      0.05s  0.91%  github.com/graydeon/mousa/internal/mousa.rejectDuplicateJSONKeys.func1
         0     0% 70.42%      0.07s  1.27%  github.com/graydeon/mousa/internal/mousa.writeTuple
         0     0% 70.42%      0.05s  0.91%  github.com/graydeon/mousa/internal/sqlite.(*Store).EvaluateAndTraceLexical (inline)
         0     0% 70.42%      0.05s  0.91%  github.com/graydeon/mousa/internal/sqlite.(*Store).traceLexical
         0     0% 70.42%      0.05s  0.91%  github.com/graydeon/mousa/internal/sqlite.(*Store).traceLexical.func1
         0     0% 70.42%      0.05s  0.91%  github.com/graydeon/mousa/internal/sqlite.(*Store).writeImmediate
