File: diagnostic
Build ID: c5c547761b7abed7a06d8d64f49e8485c1ad07cd
Type: cpu
Time: 2026-09-16 21:25:21 UTC
Duration: 4.17s, Total samples = 5.51s (132.02%)
Showing nodes accounting for 3.88s, 70.42% of 5.51s total
Dropped 466 nodes (cum <= 0.03s)
      flat  flat%   sum%        cum   cum%
         0     0% 40.29%      0.07s  1.27%  github.com/graydeon/mousa/internal/mousa.decodeSegmentSelector
         0     0% 40.29%      0.07s  1.27%  github.com/graydeon/mousa/internal/mousa.writeTuple
         0     0% 40.29%      0.07s  1.27%  modernc.org/sqlite/lib._getAndInitPage
     0.02s  0.36% 40.65%      0.07s  1.27%  modernc.org/sqlite/lib._pcache1Fetch
     0.02s  0.36% 41.02%      0.07s  1.27%  modernc.org/sqlite/lib._selectExpander
     0.01s  0.18% 41.20%      0.07s  1.27%  modernc.org/sqlite/lib._selectInnerLoop
         0     0% 41.20%      0.07s  1.27%  modernc.org/sqlite/lib._sqlite3PcacheFetch
     0.03s  0.54% 41.74%      0.07s  1.27%  modernc.org/sqlite/lib._sqlite3ResolveExprNames
         0     0% 41.74%      0.07s  1.27%  runtime.gcDrainMarkWorkerDedicated (inline)
         0     0% 41.74%      0.07s  1.27%  runtime.gcDrainMarkWorkerFractional (inline)
         0     0% 41.74%      0.07s  1.27%  runtime.mPark (inline)
     0.01s  0.18% 41.92%      0.07s  1.27%  runtime.newobject
         0     0% 41.92%      0.07s  1.27%  runtime.notesleep
     0.05s  0.91% 42.83%      0.07s  1.27%  runtime.tryDeferToSpanScan
         0     0% 42.83%      0.06s  1.09%  database/sql.(*Rows).initContextClose
     0.02s  0.36% 43.19%      0.06s  1.09%  database/sql.convertAssignRows
     0.02s  0.36% 43.56%      0.06s  1.09%  encoding/json/jsontext.(*decoderState).ReadToken
         0     0% 43.56%      0.06s  1.09%  github.com/graydeon/mousa/internal/mousa.DecodeArtifact
         0     0% 43.56%      0.06s  1.09%  github.com/graydeon/mousa/internal/mousa.DecodePolicyDecision
         0     0% 43.56%      0.06s  1.09%  github.com/graydeon/mousa/internal/sqlite.decodeCanonical[go.shape.struct { Schema string "json:\"schema\""; ID github.com/graydeon/mousa/internal/mousa.SourceID "json:\"id\""; Namespace string "json:\"namespace\""; ExternalSourceID string "json:\"external_source_id\"" }]
     0.06s  1.09% 44.65%      0.06s  1.09%  modernc.org/libc.Xmemset
     0.02s  0.36% 45.01%      0.06s  1.09%  modernc.org/sqlite.(*conn).bind
         0     0% 45.01%      0.06s  1.09%  modernc.org/sqlite.(*conn).columnBlob
     0.01s  0.18% 45.19%      0.06s  1.09%  modernc.org/sqlite/lib.Xsqlite3_mutex_enter (inline)
         0     0% 45.19%      0.06s  1.09%  modernc.org/sqlite/lib._closeAllCursors
         0     0% 45.19%      0.06s  1.09%  modernc.org/sqlite/lib._whereScanInit
     0.01s  0.18% 45.37%      0.06s  1.09%  modernc.org/sqlite/lib._whereScanNext
     0.01s  0.18% 45.55%      0.06s  1.09%  modernc.org/sqlite/lib._whereShortCut
         0     0% 45.55%      0.06s  1.09%  runtime.futexwakeup
     0.01s  0.18% 45.74%      0.06s  1.09%  runtime.gdestroy
         0     0% 45.74%      0.06s  1.09%  runtime.markroot
         0     0% 45.74%      0.06s  1.09%  runtime.notewakeup
     0.01s  0.18% 45.92%      0.06s  1.09%  runtime.scanObjectsSmall
         0     0% 45.92%      0.06s  1.09%  runtime.scanSpan
         0     0% 45.92%      0.06s  1.09%  runtime.startm
         0     0% 45.92%      0.05s  0.91%  database/sql.(*Rows).awaitDone
     0.03s  0.54% 46.46%      0.05s  0.91%  encoding/json/internal/jsonwire.ConsumeStringResumable
     0.01s  0.18% 46.64%      0.05s  0.91%  encoding/json/jsontext.(*Encoder).WriteValue (inline)
         0     0% 46.64%      0.05s  0.91%  github.com/graydeon/mousa/internal/mousa.SHA256.MarshalJSON
         0     0% 46.64%      0.05s  0.91%  github.com/graydeon/mousa/internal/mousa.rejectDuplicateJSONKeys
         0     0% 46.64%      0.05s  0.91%  github.com/graydeon/mousa/internal/mousa.rejectDuplicateJSONKeys.func1
         0     0% 46.64%      0.05s  0.91%  github.com/graydeon/mousa/internal/sqlite.(*Store).EvaluateAndTraceLexical (inline)
         0     0% 46.64%      0.05s  0.91%  github.com/graydeon/mousa/internal/sqlite.(*Store).traceLexical
         0     0% 46.64%      0.05s  0.91%  github.com/graydeon/mousa/internal/sqlite.(*Store).traceLexical.func1
         0     0% 46.64%      0.05s  0.91%  github.com/graydeon/mousa/internal/sqlite.(*Store).writeImmediate
         0     0% 46.64%      0.05s  0.91%  main.queryItems
     0.05s  0.91% 47.55%      0.05s  0.91%  modernc.org/libc.(*TLS).Free
         0     0% 47.55%      0.05s  0.91%  modernc.org/sqlite.(*conn).columnName
     0.01s  0.18% 47.73%      0.05s  0.91%  modernc.org/sqlite/lib._clearSelect
         0     0% 47.73%      0.05s  0.91%  modernc.org/sqlite/lib._codeAllEqualityTerms
         0     0% 47.73%      0.05s  0.91%  modernc.org/sqlite/lib._generateColumnTypes
         0     0% 47.73%      0.05s  0.91%  modernc.org/sqlite/lib._innerLoopLoadRow (inline)
     0.03s  0.54% 48.28%      0.05s  0.91%  modernc.org/sqlite/lib._pcache1FetchNoMutex
         0     0% 48.28%      0.05s  0.91%  modernc.org/sqlite/lib._pcache1FetchWithMutex
     0.03s  0.54% 48.82%      0.05s  0.91%  modernc.org/sqlite/lib._pthreadMutexEnter
         0     0% 48.82%      0.05s  0.91%  modernc.org/sqlite/lib._sqlite3ExprCodeExprList
     0.01s  0.18% 49.00%      0.05s  0.91%  modernc.org/sqlite/lib._sqlite3GetToken
         0     0% 49.00%      0.05s  0.91%  modernc.org/sqlite/lib._sqlite3SelectDelete
     0.02s  0.36% 49.36%      0.05s  0.91%  modernc.org/sqlite/lib._sqlite3VdbeMemSetText
         0     0% 49.36%      0.05s  0.91%  modernc.org/sqlite/lib._whereLoopAddAll
     0.03s  0.54% 49.91%      0.05s  0.91%  modernc.org/sqlite/lib._yy_find_shift_action
     0.05s  0.91% 50.82%      0.05s  0.91%  runtime.(*_panic).nextDefer
     0.01s  0.18% 51.00%      0.05s  0.91%  runtime.(*mcache).nextFree
         0     0% 51.00%      0.05s  0.91%  runtime.(*mcache).prepareForSweep
     0.01s  0.18% 51.18%      0.05s  0.91%  runtime.(*mcache).releaseAll
         0     0% 51.18%      0.05s  0.91%  runtime.(*mcentral).uncacheSpan
         0     0% 51.18%      0.05s  0.91%  runtime.bgsweep
     0.03s  0.54% 51.72%      0.05s  0.91%  runtime.findObject
         0     0% 51.72%      0.05s  0.91%  runtime.gcMarkDone
     0.03s  0.54% 52.27%      0.05s  0.91%  runtime.mallocgcSmallScanNoHeaderSC2
     0.04s  0.73% 52.99%      0.05s  0.91%  runtime.mallocgcTinySC2
         0     0% 52.99%      0.05s  0.91%  runtime.markrootBlock
     0.05s  0.91% 53.90%      0.05s  0.91%  runtime.memmove
         0     0% 53.90%      0.05s  0.91%  runtime.newproc
         0     0% 53.90%      0.05s  0.91%  runtime.newproc.func1
         0     0% 53.90%      0.05s  0.91%  runtime.resetspinning
     0.03s  0.54% 54.45%      0.05s  0.91%  runtime.scanblock
         0     0% 54.45%      0.05s  0.91%  runtime.sweepone
     0.05s  0.91% 55.35%      0.05s  0.91%  runtime.typePointers.next
         0     0% 55.35%      0.04s  0.73%  database/sql.(*Conn).QueryContext
     0.03s  0.54% 55.90%      0.04s  0.73%  database/sql.driverArgsConnLocked
     0.04s  0.73% 56.62%      0.04s  0.73%  encoding/hex.Encode (inline)
         0     0% 56.62%      0.04s  0.73%  encoding/json.(*Decoder).Token
         0     0% 56.62%      0.04s  0.73%  encoding/json.Unmarshal (inline)
     0.04s  0.73% 57.35%      0.04s  0.73%  encoding/json/internal/jsonwire.AppendQuote
     0.04s  0.73% 58.08%      0.04s  0.73%  encoding/json/internal/jsonwire.ConsumeWhitespace (inline)
         0     0% 58.08%      0.04s  0.73%  encoding/json/jsontext.(*decoderState).consumeWhitespace
     0.01s  0.18% 58.26%      0.04s  0.73%  encoding/json/jsontext.(*encoderState).WriteValue
         0     0% 58.26%      0.04s  0.73%  encoding/json/v2.makeSliceArshaler.func3
         0     0% 58.26%      0.04s  0.73%  github.com/graydeon/mousa/internal/mousa.DecodeSource
         0     0% 58.26%      0.04s  0.73%  github.com/graydeon/mousa/internal/mousa.ParseArtifactID (inline)
         0     0% 58.26%      0.04s  0.73%  github.com/graydeon/mousa/internal/mousa.SegmentSelector.MarshalJSON
     0.04s  0.73% 58.98%      0.04s  0.73%  modernc.org/libc.(*TLS).Alloc
     0.04s  0.73% 59.71%      0.04s  0.73%  modernc.org/libc.Int32FromUint16 (inline)
     0.01s  0.18% 59.89%      0.04s  0.73%  modernc.org/sqlite/lib.Xsqlite3_free
         0     0% 59.89%      0.04s  0.73%  modernc.org/sqlite/lib._closeCursorsInFrame
     0.03s  0.54% 60.44%      0.04s  0.73%  modernc.org/sqlite/lib._exprAnalyze
     0.04s  0.73% 61.16%      0.04s  0.73%  modernc.org/sqlite/lib._keywordCode
     0.02s  0.36% 61.52%      0.04s  0.73%  modernc.org/sqlite/lib._releaseMemArray
         0     0% 61.52%      0.04s  0.73%  modernc.org/sqlite/lib._sqlite3ExprCodeGetColumn
     0.03s  0.54% 62.07%      0.04s  0.73%  modernc.org/sqlite/lib._sqlite3ExprCodeGetColumnOfTable
         0     0% 62.07%      0.04s  0.73%  modernc.org/sqlite/lib._sqlite3Malloc
         0     0% 62.07%      0.04s  0.73%  modernc.org/sqlite/lib._sqlite3MemMalloc
         0     0% 62.07%      0.04s  0.73%  modernc.org/sqlite/lib._sqlite3SrcListAppendFromTerm
     0.04s  0.73% 62.79%      0.04s  0.73%  modernc.org/sqlite/lib._sqlite3StrICmp
         0     0% 62.79%      0.04s  0.73%  modernc.org/sqlite/lib._sqlite3VdbeFreeCursorNN
         0     0% 62.79%      0.04s  0.73%  modernc.org/sqlite/lib._sqlite3VdbeIdxRowid
         0     0% 62.79%      0.04s  0.73%  modernc.org/sqlite/lib._sqlite3VdbeRecordCompare
     0.03s  0.54% 63.34%      0.04s  0.73%  modernc.org/sqlite/lib._sqlite3VdbeRecordCompareWithSkip
         0     0% 63.34%      0.04s  0.73%  modernc.org/sqlite/lib._sqlite3WhereExprAnalyze
         0     0% 63.34%      0.04s  0.73%  modernc.org/sqlite/lib._whereLoopAddBtree
         0     0% 63.34%      0.04s  0.73%  runtime.(*mcache).refill
         0     0% 63.34%      0.04s  0.73%  runtime.acquirep
         0     0% 63.34%      0.04s  0.73%  runtime.acquirepNoTrace
         0     0% 63.34%      0.04s  0.73%  runtime.gcstopm
         0     0% 63.34%      0.04s  0.73%  runtime.gopreempt_m (inline)
         0     0% 63.34%      0.04s  0.73%  runtime.goschedImpl
     0.03s  0.54% 63.88%      0.04s  0.73%  runtime.mallocgcSmallNoScanSC6
     0.04s  0.73% 64.61%      0.04s  0.73%  runtime.memclrNoHeapPointers
         0     0% 64.61%      0.04s  0.73%  runtime.morestack
