File: diagnostic
Build ID: abd29e9db092f2100ef189cb53825be3ba977096
Type: cpu
Time: 2026-09-16 07:18:10 UTC
Duration: 4.15s, Total samples = 4.46s (107.46%)
Showing nodes accounting for 2.97s, 66.59% of 4.46s total
Dropped 363 nodes (cum <= 0.02s)
      flat  flat%   sum%        cum   cum%
         0     0% 66.59%      0.03s  0.67%  github.com/graydeon/mousa/internal/mousa.DerivationInput.MarshalJSON
         0     0% 66.59%      0.05s  1.12%  github.com/graydeon/mousa/internal/mousa.EncodeArtifact
         0     0% 66.59%      0.09s  2.02%  github.com/graydeon/mousa/internal/mousa.EncodeObservation
         0     0% 66.59%      0.08s  1.79%  github.com/graydeon/mousa/internal/mousa.EncodeRepresentation
         0     0% 66.59%      0.19s  4.26%  github.com/graydeon/mousa/internal/mousa.EncodeSegment
         0     0% 66.59%      0.09s  2.02%  github.com/graydeon/mousa/internal/mousa.EncodeSourceTrail
         0     0% 66.59%      0.03s  0.67%  github.com/graydeon/mousa/internal/mousa.NewRepresentationID
         0     0% 66.59%      0.04s   0.9%  github.com/graydeon/mousa/internal/mousa.NewSegmentID
         0     0% 66.59%      0.03s  0.67%  github.com/graydeon/mousa/internal/mousa.ObservationID.MarshalJSON
         0     0% 66.59%      0.03s  0.67%  github.com/graydeon/mousa/internal/mousa.ParseObservationID (inline)
         0     0% 66.59%      0.03s  0.67%  github.com/graydeon/mousa/internal/mousa.ParseSHA256 (inline)
         0     0% 66.59%      0.04s   0.9%  github.com/graydeon/mousa/internal/mousa.ParseSegmentID (inline)
         0     0% 66.59%      0.04s   0.9%  github.com/graydeon/mousa/internal/mousa.Representation.Validate
         0     0% 66.59%      0.05s  1.12%  github.com/graydeon/mousa/internal/mousa.SHA256.MarshalJSON
         0     0% 66.59%      0.04s   0.9%  github.com/graydeon/mousa/internal/mousa.Segment.Validate
         0     0% 66.59%      0.03s  0.67%  github.com/graydeon/mousa/internal/mousa.decodeDerivationInput
         0     0% 66.59%      0.49s 10.99%  github.com/graydeon/mousa/internal/mousa.decodeJSONContract
         0     0% 66.59%      0.07s  1.57%  github.com/graydeon/mousa/internal/mousa.decodeSegmentSelector
         0     0% 66.59%      0.47s 10.54%  github.com/graydeon/mousa/internal/mousa.encodeJSONContract
         0     0% 66.59%      0.10s  2.24%  github.com/graydeon/mousa/internal/mousa.rejectDuplicateJSONKeys
         0     0% 66.59%      0.10s  2.24%  github.com/graydeon/mousa/internal/mousa.rejectDuplicateJSONKeys.func1
         0     0% 66.59%      4.27s 95.74%  github.com/graydeon/mousa/internal/sqlite.Open (inline)
         0     0% 66.59%      0.25s  5.61%  github.com/graydeon/mousa/internal/sqlite.decodeCanonical[go.shape.0dcd03afbde88ccecc209e5531ea1ad4736511c0737b39f41f5b23eeb333a528]
         0     0% 66.59%      0.07s  1.57%  github.com/graydeon/mousa/internal/sqlite.decodeCanonical[go.shape.26d71ac27b713a37a9e53eacc7bfd28233f5cabc6f1b949914d56ebf7bd6df9b]
         0     0% 66.59%      0.20s  4.48%  github.com/graydeon/mousa/internal/sqlite.decodeCanonical[go.shape.306a23f933d01715a5149d224e0aadf87151f63a1f21c3817e81e45011b6c367]
         0     0% 66.59%      0.15s  3.36%  github.com/graydeon/mousa/internal/sqlite.decodeCanonical[go.shape.struct { Schema string "json:\"schema\""; ID github.com/graydeon/mousa/internal/mousa.ArtifactID "json:\"id\""; ObservationID github.com/graydeon/mousa/internal/mousa.ObservationID "json:\"observation_id\""; ArtifactKey string "json:\"artifact_key\""; MediaType string "json:\"media_type\""; ContentSHA256 github.com/graydeon/mousa/internal/mousa.SHA256 "json:\"content_sha256\""; ByteLength uint64 "json:\"byte_length\"" }]
         0     0% 66.59%      0.19s  4.26%  github.com/graydeon/mousa/internal/sqlite.decodeCanonical[go.shape.struct { Schema string "json:\"schema\""; ID github.com/graydeon/mousa/internal/mousa.ObservationID "json:\"id\""; SourceID github.com/graydeon/mousa/internal/mousa.SourceID "json:\"source_id\""; ExternalObservationID string "json:\"external_observation_id\"" }]
         0     0% 66.59%      0.42s  9.42%  github.com/graydeon/mousa/internal/sqlite.decodeCanonical[go.shape.struct { Schema string "json:\"schema\""; ID github.com/graydeon/mousa/internal/mousa.SegmentID "json:\"id\""; RepresentationID github.com/graydeon/mousa/internal/mousa.RepresentationID "json:\"representation_id\""; Selector github.com/graydeon/mousa/internal/mousa.SegmentSelector "json:\"selector\""; ContentSHA256 github.com/graydeon/mousa/internal/mousa.SHA256 "json:\"content_sha256\"" }]
         0     0% 66.59%      0.05s  1.12%  github.com/graydeon/mousa/internal/sqlite.decodeCanonical[go.shape.struct { Schema string "json:\"schema\""; ID github.com/graydeon/mousa/internal/mousa.SourceID "json:\"id\""; Namespace string "json:\"namespace\""; ExternalSourceID string "json:\"external_source_id\"" }]
         0     0% 66.59%      0.47s 10.54%  github.com/graydeon/mousa/internal/sqlite.getArtifact
         0     0% 66.59%      0.55s 12.33%  github.com/graydeon/mousa/internal/sqlite.getObservation
         0     0% 66.59%      0.14s  3.14%  github.com/graydeon/mousa/internal/sqlite.getPolicyDecision
         0     0% 66.59%      0.90s 20.18%  github.com/graydeon/mousa/internal/sqlite.getRepresentation
         0     0% 66.59%      1.14s 25.56%  github.com/graydeon/mousa/internal/sqlite.getSegment
         0     0% 66.59%      0.28s  6.28%  github.com/graydeon/mousa/internal/sqlite.getSource
         0     0% 66.59%      3.30s 73.99%  github.com/graydeon/mousa/internal/sqlite.getSourceTrail
         0     0% 66.59%      2.26s 50.67%  github.com/graydeon/mousa/internal/sqlite.lexicalEvidencePaths
         0     0% 66.59%      2.05s 45.96%  github.com/graydeon/mousa/internal/sqlite.migrate
         0     0% 66.59%      4.27s 95.74%  github.com/graydeon/mousa/internal/sqlite.open
         0     0% 66.59%      2.22s 49.78%  github.com/graydeon/mousa/internal/sqlite.preflightWritable
         0     0% 66.59%      0.10s  2.24%  github.com/graydeon/mousa/internal/sqlite.projectedInputs
         0     0% 66.59%      0.04s   0.9%  github.com/graydeon/mousa/internal/sqlite.readPolicyInputParents
         0     0% 66.59%      2.94s 65.92%  github.com/graydeon/mousa/internal/sqlite.verifyExactTrailContent
         0     0% 66.59%      0.41s  9.19%  github.com/graydeon/mousa/internal/sqlite.verifyInputProjection
         0     0% 66.59%      0.09s  2.02%  github.com/graydeon/mousa/internal/sqlite.verifyPolicyDecisionRecords
         0     0% 66.59%      4.10s 91.93%  github.com/graydeon/mousa/internal/sqlite.verifySourceTrailRecords
         0     0% 66.59%      4.27s 95.74%  github.com/graydeon/mousa/internal/sqlite.verifyVersion
         0     0% 66.59%      4.27s 95.74%  main.main
         0     0% 66.59%      4.27s 95.74%  main.runStatus
         0     0% 66.59%      4.27s 95.74%  main.statusCommand
         0     0% 66.59%      0.05s  1.12%  modernc.org/libc.X__fstat
         0     0% 66.59%      0.05s  1.12%  modernc.org/libc.X__fstatat
         0     0% 66.59%      0.04s   0.9%  modernc.org/libc.X__syscall2
         0     0% 66.59%      0.23s  5.16%  modernc.org/libc.Xfcntl
         0     0% 66.59%      0.03s  0.67%  modernc.org/libc.Xpthread_mutex_unlock
         0     0% 66.59%      2.17s 48.65%  modernc.org/sqlite.(*conn).QueryContext
         0     0% 66.59%      0.08s  1.79%  modernc.org/sqlite.(*conn).columnBlob
         0     0% 66.59%      0.24s  5.38%  modernc.org/sqlite.(*conn).finalize
         0     0% 66.59%      1.32s 29.60%  modernc.org/sqlite.(*conn).prepareV2
         0     0% 66.59%      0.71s 15.92%  modernc.org/sqlite.(*conn).step
         0     0% 66.59%      0.24s  5.38%  modernc.org/sqlite.(*rows).Close
         0     0% 66.59%      0.11s  2.47%  modernc.org/sqlite.(*rows).Next
         0     0% 66.59%      0.84s 18.83%  modernc.org/sqlite.(*stmt).query
         0     0% 66.59%      0.05s  1.12%  modernc.org/sqlite.newRows
         0     0% 66.59%      1.32s 29.60%  modernc.org/sqlite.newStmt
         0     0% 66.59%      0.03s  0.67%  modernc.org/sqlite/lib.Xsqlite3_bind_blob (inline)
         0     0% 66.59%      0.03s  0.67%  modernc.org/sqlite/lib.Xsqlite3_column_blob
         0     0% 66.59%      0.24s  5.38%  modernc.org/sqlite/lib.Xsqlite3_finalize
         0     0% 66.59%      0.04s   0.9%  modernc.org/sqlite/lib.Xsqlite3_mutex_enter (inline)
         0     0% 66.59%      0.03s  0.67%  modernc.org/sqlite/lib.Xsqlite3_mutex_leave (inline)
         0     0% 66.59%      1.32s 29.60%  modernc.org/sqlite/lib.Xsqlite3_prepare_v2 (inline)
         0     0% 66.59%      0.03s  0.67%  modernc.org/sqlite/lib._bindText
         0     0% 66.59%      0.15s  3.36%  modernc.org/sqlite/lib._btreeEndTransaction
         0     0% 66.59%      0.05s  1.12%  modernc.org/sqlite/lib._closeAllCursors
         0     0% 66.59%      0.03s  0.67%  modernc.org/sqlite/lib._exprAnalyze
         0     0% 66.59%      0.06s  1.35%  modernc.org/sqlite/lib._fts5FilterMethod
         0     0% 66.59%      0.04s   0.9%  modernc.org/sqlite/lib._fts5NextMethod
